离婚后，原告一直在诉争房屋中居住，但被告始终拒绝协助原告履行房屋过户手续。	4,15,2
依照《最高人民法院关于人民法院审理离婚案件处理子女抚养问题的若干意见》第七条第三款、第八条、第十一条之规定，参照当地农村居民2013年人均年纯收入9446元的标准，按30﹪的比例，被告每月应支付子女抚养费236元，定期给付，至儿子杜某某十八周岁止。	0,7,3,1
准予原告陈某甲与被告耿某某离婚。	8,11
原告称小孩大部分时间系由原告照顾，母子感情深厚，虽然原告的经济条件不如被告，但被告经常喝酒，没有精力和时间照顾小孩，因此原告主张小孩由原告抚养。	0,1
我们共同财产在昌茂花园有一处楼房，登记在原告的姐姐、姐夫名下，我们有共同债务为欠我母亲6000元。	4,9,2
原、被告于婚姻关系存续期间购买了中山市南区恒海路2号碧堤湾畔碧堤东街4幢203房，该房登记在原、被告双方名下，且已约定各占一半产权份额。	4,2
（3）原告于2013年11月11日将其所有的号牌为京N×××××的北京现代汽车以150000元的价格过户给他人，该车的购置价格为279800元；	2
三、位于安徽省芜湖经济技术开发区凤凰城水云间19栋1单元1403室的房屋归被告刘某所有，该房的剩余房贷由被告刘某承担；	4,2
第五，侯某阻止刘某探视女儿，系因其在探视中对侯某进行性骚扰。	0,1
双方发生争吵主要是为经济，因办鸡场，补安置房差价、装修房屋等向我父亲借款27万余元尚未还清，我的压力较大才与原告发生争吵的，更谈不上家庭暴力。	9,2
双方在离婚协议中约定：女李玲玲，17岁，由其母亲李某甲抚养，男方抚养费自愿，有探视权；	0,3,1
另，婚生子黄某乙由一出生就由原告父母携带，为给黄某乙一个稳定的成长环境，原告愿意承担儿子的抚养责任。	0,1
2013年11月26日，宣汉县人民法院作出（2013）宣汉民初字第2247号民事判决，不准予我与被告胡某某离婚。	6
3、从女儿出满月，即2016月6月16日起，被告对女儿不管不问不抚养，请法院判令被告一次性支付抚养费12750元给原告(从2016年6月16日至2017年2月28日止，按每月1500元计)；	12,0,1
因双方均同意张某名下的住房公积金按照135000元的数额进行分割，故张某名下的住房公积金归张某所有，张某支付亓某该住房公积金135000元的一半分割款即67500元。	2
经审理查明，原告朱某某与被告刘某某经人介绍相识，相处近一年，于1983年农历腊月十二按照当地习俗举办结婚仪式，婚后初期夫妻感情尚可，于1984年9月27日生育长女朱莹莹，于1991年3月23日生育次女朱莹杰，两名子女现均已成年。	0
对于子女抚养问题，因双方儿子周某甲一直随原告生活、学习，改变孩子的生活和学习环境不利于孩子的健康成长，周某甲由原告抚养较为适宜。	0,1
男方必须协助女方办理变更的一切手续，过户费由女方负责。	4,2
③其他财产：婚前双方各自的财产归各自所有，男女双方各自的私人生活用品及首饰归各自所有；	10,19
另查明，原告婚前财产：海信牌29吋彩电一台、脱水机一台、四组合家具一套、电视柜一乘、大理石餐桌一张、三人沙发一套、棉絮八床、铂金戒子一枚、铂金耳环一只，现存放在被告家中。	10
被告张某某辩称：小孩的出生时间，双方结婚时间没有异议，其不同意离婚。	0,1
但实际上两人离婚后，儿子一直跟随原告生活，原告从有利于未成年人的成长考虑，特向法院起诉变更抚养权。	0,18,1
离婚后，原告偶然发现被告在与原告夫妻关系存续期间有多项投资并担任企业法定代表人，收益可观，但对原告共同生活的独子李凌伟经济上却很苛刻。	0,2
本案原、被告结婚后即外出打工，因生活琐事发生矛盾，夫妻之间缺乏有效沟通和交流，致双方分居至今，双方的夫妻感情已经完全破裂，无和好可能，对原告要求离婚的诉请，本院依法予以支持；	8,5
3、孩子归原告抚养，被告支付抚养费500元每月。	0,7,3,1
2003年7月22日，原告龚某某生育一女李某乙。	0
一、准予原告曲某某（甲）与被告于某某离婚。	8
婚生女儿由原告抚养；	0,1
二、婚生女丁某丙、丁某丁、丁某戊跟随原告闫某生活，被告丁某甲每月月初五日内向婚生女丁某丙、丁某丁、丁某戊分别支付抚养费2000元至年满十八周岁止；	0,7,3,1
2012年6月，原告以感情破裂为由诉至法院请求依法解除婚姻关系，2012年8月，法院出具判决书判决驳回原告的诉讼请求。	6
原被告婚生子唐某由原告抚养，抚养费暂由原告负担。	0,1
如果原告不让被告及女儿回家居住，坚持离婚，被告则请求原告赔偿精神损失、房屋增值补偿、婚后还贷补偿共计55万元，并按原告应发工资总额的30%支付女儿王佳欣抚养费。	0,3,2,1
为早日解除痛苦婚姻，现已符合离婚条件，请求法院依法及时判决我与被告离婚，夫妻共同债务依法分割，案件受理费由被告承担。	6,9,2
准予原告钟某与被告张某离婚。	8,11
位于沙市区北京东路1号（沙隆达宿舍）16栋1门2楼1号的房屋（权证号为20××04）原告粟某享有50%的产权份额。	4
庭审中，原告诉称双方婚后感情尚好，自从生育了次子之后，感情开始变淡，被告去深圳工作两年，两年没有回家，对家庭不负责任，但自从原告起诉要求离婚之后，被告开始有一点改变，会关心孩子，2016年7月原告曾带两个儿子去深圳探望被告，当时没有与被告沟通离婚的事情。	12,5,0
2010年5月12日，原、被告生育一男孩杨乙。	0,1
原告称被子和四件套没有，其余的都有。	10
何况在婚姻存续期间原告并不是过错方，因此被告在离婚财产分割协议上将该房屋50%产权分割给原告，作为原告在十年婚姻里的辛苦付出且育有一个儿子的回报。	4,0
双方婚生小孩陈某乙现随原告一起生活，小孩陈某甲现寄养在被告姑妈陈带英家。	0,1
2016年5月4日原告得知被告又要将女儿许学湘带至广州，这样对女儿的学习、成长均不利，就及时到被告家中予以劝阻。	0,1
请求法院判令与被告离婚，婚生子随原告生活，抚养费随她给还是不给。	0,3,1
经审理查明：原、被告经人介绍认识，于2002年10月28日登记结婚，婚后2004年5月1日生育一子刘某某。	0
另外，因原告在与第一任妻子婚姻关系存续期间，就与被告发生婚外情，被告等原告离婚，等候了4年，现婚后孩子出生未满一年，原告又提出离婚，并再次出轨，所以原告同意补偿人民币200万元。	0
近年来双方矛盾越来越深，并因感情不和而分居。	5
原告诉称，2014年6月30日原被告因感情不和协议离婚，女儿归原告抚养，儿子由被告抚养，房子归小孩所有。	4,0,2,1
家庭财产有：液晶电视一台、洗衣机一台、挂衣柜一个、床铺一张；	2
特别是原告于2013年起诉被依法驳回诉讼请求后，双方的夫妻感情没有好转的迹象，双方也没有履行夫妻之间应有的相互扶养的义务，也没有共同生活。	6,5
原告张甲诉称，2010年10月31日，原、被告在世纪佳缘网上相识，2014年2月14日登记结婚，2015年7月30日生育一女名曲某丙。	0
被告主张，涉案楼房首付款大部分系被告父母支付，2014年4月9日提前还贷100000元系使用被告父亲的赔偿款支付，并且近两年的房屋贷款也是被告母亲给予偿还，因此涉案楼房系被告个人财产；	19
合肥市瑶海区新蚌埠路临泉花园3幢2702室房屋（剩余贷款由原告凌某偿还）、BOSS音响、卡哇伊钢琴归原告凌某所有；	4,2
2014年6月3日被告向法院起诉要求离婚，原告当时考虑三个小孩未成年，不同意离婚。	6,0,1
二、判令婚生子罗某乙由原告抚养，被告每月支付抚养费1000元，直至其18周岁。	0,7,3,1
婚后生长子朱某，现已独立生活。	0
6.被告主张三轮车两辆，均无车牌号，原告同意分给被告任意一辆，本院予以认可；	2
审理查明，原、被告系自由恋爱，××××年登记结婚，1985年生育一子，取名翁某乙。	0
四、被告蒋某甲于本判决书生效后十五日内返还原告方某抚养费4055元；	16,3,1
判令夫妻共同债务共同承担；	9
经审理查明：原告旷某某与被告张某某于1990年12月14日登记结婚，1991年10月4日生育女孩张婷，现已成年；	0
综上，原告为维护自身的合法权益，同时也给婚生子段xx一个良好的生活环境，根据相关法律规定，诉至法院，请求判决原、被告的婚生子段xx随原告生活，被告支付从2007年10月起至今的子女抚养费78000元及今后的抚养费，今后的抚养费每月支付1511.57元。	0,7,3,1
3、不应当支付精神损失费，婚姻关系名存实亡，尽管蒋某甲怀孕生子不是方某的，不表明蒋某甲不忠，不符合婚姻法规定的赔偿条件，同时方某也没有证据证明蒋某甲与他人同居；	13
刘某甲辩称：对结婚时间、分居时间、生女时间均无异议。	5,0
被告对原告主张的家电无异议，原告需要可以带走，但对原告所述房产，因均由被告父母的老宅子置换，且登记在父母名下，不是夫妻共同财产；	2
原告于2014年5月14日向本院起诉，要求与被告离婚。	6
结婚时间、孩子出生时间均正确，婚生子没有一直跟随原告生活，孩子从13岁起才开始跟随原告生活。	0,1
1998年12月15日生一男孩，取名李某乙。	0
关于抚养费，结合子女的实际需要、双方工作收入情况等因素，本院酌情确定由被告每月支付抚养费1，200元，直至彭乙年满18周岁止。	0,7,3,1
由于双方认识时间较短，原告对被告的性情不了解，后来逐渐发现被告对婚姻没有真心付出，双方没有建立起真正的夫妻感情，特别是女儿出生后，对女儿不管不问，没有做到一个母亲应尽的义务。	0,1
2013年7月25日原告起诉到法院要求与被告离婚，法院于2013年12月3日作出（2013）莱阳城民初字第763号民事判决书，判决原、被告不准离婚。	6
鄂A×××××号思威牌小型普通客车归被告熊某甲所有，车辆价值175，000元，被告熊某甲向原告王某支付车辆补偿款87，500元；	2
根据当事人陈述和经审查确认的证据，本院认定事实如下：齐晓宇与宁海春2009年3月31日登记结婚，齐晓宇称宁海春有第三者而离家出走，与宁海春分居至起诉日已满二年。	5,17
2012年农历11月2日生育一女张甲，现随被告生活。	0,1
2014年3月24日，被告将原告诉至法院，请求撤销其起草的离婚协议书中关于财产分割的条款，同年5月27日法院在审理此案时，原告提出对罗果果和原告是否属亲子关系进行鉴定，被告当庭承认罗果果是其与他人所生。	13
2012年6月，正值原告怀孕期间，双方因生活琐事产生矛盾，原告搬住娘家。	5,0
关于婚生子徐某乙（××××年××月××日生）的抚养权及抚养费问题，因徐某乙尚未成年，父母双方均有对其抚养教育的义务。	0,1
孩子周某某变更由原告周某某抚养，原告周某某自行负担子女抚养费。	0,1
二、夫妻共同财产：郴州市苏仙区龙船头某家属区××栋××单元××号房赠送张黎明（原告张某某拥有居住权）；	4,2
双方对车辆价值已经协商一致，本院不持异议。	2
原、被告共有的该房产，房产证上面积为62.56平方米，实际面积约有100平方米，按补偿方案，原、被告将获得约130平方米的新房（按目前同地段房价，价值最少约为90万元），而且拆迁重建期间原、被告的损失还得到补偿。	2
期间，孩子跟随被告生活21个月，故应扣除期间抚养费共计4210.00元。	0,3,1
孩子张云翼出生后一直随原告的父母亲生活，孩子由原告抚养更有利于孩子成长。	0,1
原告陈某甲应在判决生效之日起五日内支付该车折价款二万元给被告谢某某。	2
一、原告葛丽霞与被告杨东升婚生子杨某某由原告葛丽霞抚养。	0,1
而且被告的工作稳定，有两处房产和稳定的租金收入，能够为张某丙提供非常好的经济基础；	0,1
婚后共同财产有面包车一辆（鲁B×××××）、太阳能一套、惠普电脑一台、美的柜机空调一台、惠普手提电脑一台，无债权债务。	2
生效的调解书确认：原、被告夫妻关系存续期间的债务由赵某某承担。	9
被告希望原告能协助被告支撑这个家庭，但原告爱慕虚荣，经常拿走家里的钱去请客、玩，为此被告多次找原告交谈，但原告依旧我行我素，也不照顾孩子。	12
另查明，庭审中，原、被告均认可位于沭阳县庙头镇吕庄村某组某号三上三下楼房系双方共同财产，但双方均不要求分割。	4,2
一、准予原告刘某与被告王某甲离婚。	8
原告认为被告未按离婚协议约定履行自己的义务，向本院提出诉讼，要求被告返还该车辆。	15
我作为孩子的母亲，有责任给孩子一个完整的家，给孩子一个健康的生活环境，同时也为了我们十几年的夫妻情份，我愿意给原告改过自新的机会，真心拉原告回头，不要被外面的花花世界蒙骗，珍惜我们来之不易的家，让我们共同把儿女培养成人，望法院给我们调解和好。	0
原告陈某诉称：我与被告于××××年××月××日登记结婚，婚后于××××年××月××日生育女儿叶某乙。	0
原、被告双方婚后感情一般，2015年6月，双方因家庭矛盾分居至今，婚生女李某丙目前与原告李某甲共同生活。	5,0
对于上述夫妻共同财产，双方一致同意以下分割方案：位于武汉市江岸区解放大道2805号美联·公园前1期4栋3单元2层1室房屋归原告王某所有，该房屋贷款220，521.38元由原告王某负担，房屋总价值扣减房贷后由原告王某向被告熊某甲依法支付房屋补偿款；	4,9,2
被告亦曾于2012年起诉离婚。	6
原告诉称：我和被告于2013年1月21日通过协议方式离婚，约定婚生女儿崔xx由双方轮流抚养，并按照被告意愿对夫妻共同财产予以分割。	0,2,1
孩子是在西安出生的，我一直照看了十个月，然后把孩子送到杨陵由原告母亲照看。	0
金某诉称：我与被告在2004年自由恋爱，××××年××月××日办理结婚登记，××××年××月××日生育一女朱某乙。	0
李某甲从2012年12月24日至2014年12月24日都未尽抚养义务。	12,0,1
被告张某甲在庭审答辩中明确表示同意离婚，对于原告于某某提出的99000元债务及精神赔偿均不予认可，并同时要求分割夫妻共同财产人民币453793元及共同债务32万元，要求婚生子张某乙由其抚养，由原告于某某每月支付抚养费600元直至婚生子张某乙成年。	0,7,3,9,2,1
关于夫妻共同财产，原、被告一致同意长丰县双凤工业区蒙城北路西侧北城世纪城B4区腾徽苑＊幢＊室房屋归王某所有，下剩房屋按揭款由王某负责偿还，王某支付陶某甲10万元房屋分割款后，陶某甲协助王某过户，系当事人真实意思表示，不违反法律规定，本院依法予以准许。	4,9,2
原告认为被告嗜赌如命，并不顾及家庭且于2009年和2010年被行政处罚，又无稳定的收入，与马某乙共同生活时间很少，不尽抚养义务。	12,0,1
被告虽辩称协议系在原告的逼迫下签订的，但没有提供受逼迫的证据，故本院不予支持，且陈某乙现在原告处生活，为不改变孩子的生活环境，也为年幼孩子考虑，原被告婚生女儿以随原告生活为宜。	0,1
原告的个人财产归原告所有。	19
在本案审理过程中，本院于2014年8月5日在被告及其女儿刘某乙的住处依法征询了刘某乙的意见，在调查中刘某乙称现在与被告一起生活也挺好的，其还想继续这样生活。	0,1
被告辩称：原告所诉不属实，被告不同意变更女儿郑某乙的抚养关系。	0,1
2、婚生子女陈某丙、陈某丁由原告携带抚养，两个女儿的抚养费由原告自行承担；	0,3,1
被告多次劝说原告多点回家陪伴儿子，而原告不予理会。	0
原、被告夫妻共同财产有：位于株洲县渌口镇渌口村关口组两层砖混结构房屋一栋、2012年所购兰骏货车一台、冰箱、彩电、洗衣机各一台、2011年以原告旷荣华的名义投保了养老保险一份，该保险投保时一次性缴纳保险费26700元，受益人为原告旷某某。	2
一、准予原告黄某某与被告欧某甲离婚；	8
2、婚生子女郭某乙归原告抚养，被告承担抚养费；	0,3,1
一、准许原告杨某某与被告郭某某离婚；	8,11
四、号牌为京Q×××别克汽车一辆归原告所有。	2
两人所生育的女儿张某乙未满2周岁，在被告没有上述不适合抚养情形的情况下，随母亲生活更有利于其身心发育，在原、被告经济条件及教育程度相当的条件下，综合考虑小孩的年龄、性别、成长环境、双方的经济状况等因素，女儿由被告抚养较为适宜，更能为其提供稳定的生活、教育环境，有利于其健康成长，故被告要求判令女儿张某乙由其抚养，本院依法予以支持。	0,1
原被告的长子赵某某自原被告分居后一直随原告生活，考虑被告目前离家出走的实际，婚生长子由原告抚养较适宜，故原告要求抚养长子赵某某的诉讼请求本院予以支持。	0,1
另，婚生子邓某乙年龄尚小，且其自出生起一直由冼某照顾抚养，随母冼某生活更有利于其健康成长。	0,1
三、家庭财产各自管理各自名下的；	19
如果申×1由其抚养，其要求自行抚养，但条件是杨×不能探望申×1。	0,1
依据原告提交的离婚证可以证实，原、被告于1997年12月3日在乳山市民政局协议离婚，离婚时双方约定婚后所建四间平房归原告所有。	4,2
双方夫妻共同财产有位于本市博望区博望镇某村的瓦房两间（建造价20000元，面积约20平方米，现由陶某某居住）；	2
2014年春节前，原、被告又为琐事发生争吵，至双方分居生活至今。	5
而原告并未依照协议约定给付抚养费，至今分文未支付过小孩抚养费给被告。	15,0,3,1
原告在婚姻合法存续期间没有办理离婚手续就与被告分居，给被告和孩子吴甲造成了伤害，这一行为也不符合法律规定；	5
被告招商银行账号为62×××29的账户，截至2013年6月21日，余额为55049.37元。	2
2、公平分配婚后所有财产。	2
四、原告尹某于本判决生效之日起二十日内向被告胡某甲支付房屋折价款77万元；	4,2
2013年10月12日，原告不愿与被告继续共同生活，遂回娘家居住至今。	5
二、子女抚养：双方婚生女代某甲抚养权归原告代某，被告高某某自2016年5月起每月支付抚养费1500元至代某甲年满十八周岁为止；	0,7,3,1
坐落于上海市浦东新区南汇新城镇芦潮港社区渔港路XXX弄XXX号XXX室的房屋归原告龚某某所有。	4,2
关于孩子的抚养问题，根据本案的实际情况，女儿曹某乙随曹某甲生活，儿子曹某丙归随张某生活较为合适。	0,1
本院认为，原告惠某某与被告汪某某经他人介绍后，自由恋爱，婚姻基础较好，婚后已生育子女，双方本应珍惜夫妻感情，和睦相处，但原、被告因琐事发生纠纷，分居生活，原告于2016年5月向本院起诉要求离婚，经调解，原告惠某某撤回了起诉，但双方仍未共同生活。	6,5,0
综上，本院认为祀某某与刘某甲之间夫妻感情确已破裂，依法应准予祀某某与刘某甲离婚。	8
同居生活期间，于2009年11月19日生育一男孩，取名祝辉亿，现随我生活。	13
原告曾于2013年3月1日诉至本院，要求与被告离婚，本院以（2013）泰山民初字第某号民事判决书判决不准原、被告离婚，后原、被告关系未能改善。	6
对该处房产现价值，原、被告均认可295000元。	4,2
庭审结束后，双方当事人向本院提交书面意见，均表示同意对本案中的婚姻及子女抚养问题先行判决，夫妻共同财产及共同债权债务另案处理。	0,1
原、被告的夫妻关系由不互相理解发展到为琐事争吵打架，进而发展到分居生活，其主要原因是被告的行为所致，被告不仅伤害原告，还对原告的父母及其家人也进行伤害，尤其是被告致伤原告母亲的行为，严重伤害了原被告的夫妻感情，虽然被告的行为与其患病有一定的关系，但其所患疾病经治疗，仍未完全治愈，如原、被告继续共同生活一起对原告极为不利，特别是被驳回诉讼请求后，原、被告仍未和好夫妻关系，仍继续分居生活至今，其夫妻关系有其名无其实，已是名存实亡，其夫妻感情也是彻底破裂，故对原告的离婚请求予以支持；	6,8,5,11
该车尚欠的银行贷款本息57200元为夫妻共同债务，因该车以原告名义向银行贷款并一直由原告负责偿还，本院判定该债务由原告承担，根据照顾女方权益原则，本院确定被告就该债务补偿原告34320元。	9
2012年11月29日原告向法院起诉要求与被告离婚，法院判决不准许后夫妻感情并未得到改善，而一直处于分居状态。	6,5
三、共同财产，其中位于隆回县雨山铺镇和平村13组的红砖房屋一座，以及开设于雨山铺镇和平村的诊所归原告肖某某所有；	4,2
一、位于宜昌市夷陵大道（CBD中心商务区）×××号房屋（宜市房权证西陵区字第××号，建筑面积119.33平方米）归原告何某所有；	4,2
三、各人衣服归各人所有，小孩衣物归小孩所有。	19
另李某某不履行家庭义务，对张某某及儿子不管不问。	12,0
上述事实，有原告李某提供的结婚证、游美怡的出生证明、离婚协议书、民事裁定书各一份，及当事人的庭审陈述在案为证。	0
婚生女丁某戊一直跟随其母生活，由其母亲照顾生活起居，本院酌定婚生女丁某丙、丁某丁、丁某戊跟随原告闫某生活，被告依法享有探视婚生女的权利。	0,1
婚后初期双方感情尚好，后因双方家庭原因等因素经常发生争吵，被告经常实施家庭暴力，双方感情逐渐冷淡，之后原告带小孩与被告分开居住，双方现感情完全破裂，无和好可能。	5,0
根据以上所确认的证据及双方当事人在庭审时的当庭陈述，本院认定案件事实如下：2015年2月9日孙美娇与夏信鹏在虎林市民政局婚姻登记处登记离婚，离婚协议书主要内容为：一、财产分割及债务处理内容：1、虎林市学苑小区2号楼8单元201室住宅楼（面积56平方米）1栋、庆丰农场场部园林小区5单元501室住宅楼（面积63平方米）1栋归男方所有；	4,2
如果由原告抚养孩子，存在许多不便之处，此前原告并未尽心尽力的照顾孩子；	0,1
原告已办理了节育手术的，不能再生育子女，请求：一、判决原、被告双方所生次子罗某洪、长女罗某现由原告抚养，由被告每年支付子女抚养费10000.00元；	13,7,3,1
原告称上述30万元均系夫妻双方的共同债务，被告则称原告姑姑、姑父的20万元系借款，其余10万元均系赠与。	9
一楼户外、二楼阳台各有一个简易可移动的晾衣架。	4,2
二人婚后共同财产有：中国邮政代理保险红福宝两全保险（分红型）理财保险15000元，投保人为杨某某。	2
2004年3月，张×购买位于丰台区某小区1002号房屋（以下简称1002号房屋），价款556448元，首付256448元，公积金贷款300000元。	4,9,2
被告是新集集团待岗工人，有待岗工资，可以为孩子创造更好的生活环境，被告的父母也愿意帮助被告抚养孩子。	0,1
该房屋产权现仍登记在被告李某名下，该房产的房产证号为：20××91号，土地证号为：乳国用（2011）31036号，至今未办理产权变更登记手续。	4,2
共同财产坐落在北正街某店面归原告所有。	4,2
我认为无论从有利于孩子健康成长，还是尊重法院调解书等因素考虑，均应驳回原告诉讼请求。	0
经审理查明：原、被告经自由恋爱于2011年7月20日登记结婚，2014年5月25日生育儿子邓某某。	0
2.婚生儿子陈某乙由被告抚养，抚养费由原、被告各负担一半；	0,3,1
2012年2月16日，原告曾向本院提起诉讼，要求判令与被告离婚，本院审理后于2012年7月3日作出（2012）博民初字第284号民事判决书，判决原、被告不准离婚。	6
被告妻子曾因王某的学习问题与王某发生过矛盾，并动手打过王某，导致两人关系不好。	0,1
结合原、被告的庭审陈述以及被告提交的中国建设银行存折（账号×××）明细可知，在原、被告购买涉诉房屋偿还贷款时，被告父母曾出资200，000元用于归还房屋贷款。	4,2
被告杨某辩称：不同意婚生女由原告抚养；	0,1
二、婚生幼子冯某乙由原告冯某某抚养，婚生长子冯某甲由被告余某抚养，抚养费各自自理；	0,1
原、被告在同居期间经常因琐事生气吵架，2016年3月份，双方再次因琐事吵架，被告独自回娘家居住至今，此后与原告无任何往来，对孩子不尽抚养义务。	5,1
因原、被告对婚生子姓名未能协商一致，导致小孩上户口及办理生育证等发生纠纷，原、被告双方均找到有关部门协调处理。	0
为了家庭，经商量后，原告外出挣钱，我在南白带孩子并租了一间门面做小生意。	0
二、原告诉称：“大儿子罗某丙出生后三个月因被告打牌赌博，原告劝告后，被告就不顾原告还在哺乳期，就殴打原告，尤其就怀孕上第二个孩子后，更是变本加厉，不顾原告怀孕，经常辱骂原告，在小儿子出生后，不管原告单独哺乳小孩辛苦，在原告生病时，也不理原告，发生争吵后，被告掐原告脖子，威胁要与原告离婚。”	12,0
原告的个人生活用品均在被告处，应由被告足数返还。	19
2、将孩子户口转入被告户上；	0
婚生女崔雅佳由我抚养，被告每月给付子女抚养费1500元；	0,7,3,1
婚前生育一子姓名胡某乙，原告与被告共同生活中，双方因性格差异，曾经为家庭琐事吵闹，对夫妻感情产生影响。	0
原告罗某某诉称：由于原、被告婚前缺乏了解，婚后性格不合，且夫妻长期两地分居，夫妻关系逐渐恶化。	5
